discovery_run,source,query,query_translation,retrieved_at_utc,pmc_uid,pmcid,pmid,doi,title,pubdate,existing_48_candidate,automated_scope_flag
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13410022,PMC13410022,,10.3390/jcdd13070320,Lipoprotein(a) and Adverse Outcomes After Successful Percutaneous Coronary Intervention for Chronic Total Occlusion: A Single-Center Retrospective Cohort Study.,2026 Jul 9,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13410539,PMC13410539,,10.1080/07853890.2026.2703887,Gestational cardiovascular health and adverse pregnancy outcomes: a prospective cohort study in China.,2026 Dec,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13403199,PMC13403199,,10.3389/fendo.2026.1914586,Correction: Triglyceride-glucose index and subclinical left ventricular dysfunction across cardiovascular-kidney-metabolic syndrome stages: a 7-year retrospective cohort study.,2026,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13403324,PMC13403324,,10.3389/fendo.2026.1857196,Thyroid feedback quantile-based index predicts 90-day all-cause mortality or readmission in hospitalized heart failure patients: a retrospective cohort study.,2026,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13402206,PMC13402206,,10.3389/fnut.2026.1863689,Elevated preoperative red cell distribution width and incident anemia after metabolic and bariatric surgery: a cohort study.,2026,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13402149,PMC13402149,,10.3389/fnut.2026.1877513,WCRF/AICR dietary adherence-associated metabolic bridge phenotypes and incident lung cancer risk: a prospective cohort study of the UK Biobank.,2026,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13403153,PMC13403153,,10.1002/clc.70422,The Predictive Value of Platelet-to-Lymphocyte Ratio Before and After Percutaneous Coronary Intervention in Patients With Acute ST-Segment Elevation Myocardial Infarction: A Retrospective Cohort Study in Palestine.,2026 Jul,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13404630,PMC13404630,,10.1136/bmjopen-2025-116166,Survival and predictors of major adverse cardiovascular events among patients with acute coronary syndrome in Ethiopia: a retrospective cohort study.,2026 Jul 24,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13405041,PMC13405041,,10.1136/bmjopen-2025-108156,Association of iron status during early pregnancy and the risk of gestational diabetes: a retrospective cohort study in Shanghai.,2026 Jul 21,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13401636,PMC13401636,,10.1177/17539447261469508,Combined diagnostic value of the systemic immune-inflammation index and LDL for coronary microvascular disease: a retrospective cohort study.,2026 Jan-Dec,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13400123,PMC13400123,,10.1016/j.jacadv.2026.102937,Cardiovascular Disease in Males With Breast Cancer: A Population-Based Cohort Study.,2026 Jul,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13400554,PMC13400554,,10.1093/jrr/rrag036,Diabetes mellitus as a potential risk factor for severe late toxicity after stereotactic body radiotherapy for prostate cancer: a large single-institution cohort study.,2026 Jul 24,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13395699,PMC13395699,,10.3389/fmed.2026.1899226,A precise oral glucose loading (18)F-FDG PET myocardial metabolic imaging protocol in coronary artery disease patients complicated by diabetes mellitus: an exploratory prospective cohort study.,2026,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13395614,PMC13395614,,10.3389/fneur.2026.1864966,"Dietary background, serum polyunsaturated fatty acid profiles, and 1-year outcomes after large-artery atherosclerotic stroke: a multicenter cohort study.",2026,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13398692,PMC13398692,,10.1093/esj/aakag086,Rehabilitation utilisation up to 24 months after stroke: a register-based cohort study in southern Sweden.,2026 Jul 6,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13396883,PMC13396883,,10.1002/brb3.71620,Comparison of Diagnostic Criteria for Severe Ischemic Stroke: A Retrospective Cohort Study.,2026 Jul,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13397952,PMC13397952,,10.20945/2359-4292-2026-0076,GLP-1 receptor agonists in kidney transplant recipients with post-transplant diabetes: efficacy and safety outcomes from a retrospective cohort study.,2026 Jul 22,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13391297,PMC13391297,,10.3389/fimmu.2026.1882018,Association between neutrophil percentage-to-albumin ratio and adverse clinical outcomes after successful percutaneous coronary intervention for chronic total occlusion: a cohort study.,2026,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13393584,PMC13393584,,10.1016/j.jtumed.2026.07.003,Effect of dapagliflozin on mineral homeostasis in patients with type 2 diabetes: A real-world retrospective cohort study.,2026 Aug,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13393562,PMC13393562,,10.1016/j.ijcha.2026.101977,"Associations of NLR, MLR, and (neutrophil + monocyte)/lymphocyte ratio with 30-day mortality in diabetic ICU patients with heart failure: A retrospective cohort study.",2026 Aug,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13395440,PMC13395440,,10.1371/journal.pone.0354691,Functional-level analysis of post-stroke social participation: A nationwide cohort study using the ICF framework.,2026,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13395082,PMC13395082,,10.1093/oncolo/oyag268,GLP-1 receptor agonist use and overall survival among women with type 2 diabetes and breast cancer: a retrospective cohort study.,2026 Jul 8,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13394890,PMC13394890,,10.1002/acn3.70473,Predictive Value of Composite Inflammatory Markers for Stroke Prognosis: A Prospective Cohort Study.,2026 Jul 11,no,requires_full_text_screen
DISC-2026-07-29-PMC-01,NCBI ESearch db=pmc,"(""2026/07/01""[Publication Date] : ""2026/07/29""[Publication Date]) AND open_access[filter] AND ""cohort study""[Title] AND (cardiovascular[Title] OR metabolic[Title] OR diabetes[Title] OR coronary[Title] OR stroke[Title] OR ""heart failure""[Title])","2026/07/01:2026/07/29[Date - Publication] AND ""open access""[Filter] AND ""cohort study""[Title] AND (""cardiovascular""[Title] OR ""metabolic""[Title] OR ""diabetes""[Title] OR ""coronary""[Title] OR ""stroke""[Title] OR ""heart failure""[Title])",2026-07-29T20:43:36+00:00,13393250,PMC13393250,,10.1186/s12933-026-03279-w,Joint longitudinal trajectories of the triglyceride-glucose index combined with BMI and waist-to-height ratio and incident cardiovascular disease: a prospective cohort study from the English longitudinal study of ageing.,2026 Jul 5,no,requires_full_text_screen
