pmcid,candidate_origin,prior_disposition,discovery_scope_flag,title,pmid,doi,ncbi_status,ncbi_pubdate,ncbi_epubdate,pmc_aws_status,pmc_aws_article_version,pmc_aws_license,pmc_aws_open_access,pmc_aws_retracted,pmc_aws_xml_url,europe_pmc_status,europe_pmc_first_publication_date,europe_pmc_electronic_publication_date,europe_pmc_first_index_date,europe_pmc_open_access,crossref_status,crossref_published_online,crossref_published_print,crossref_issued,crossref_created,crossref_deposited,crossref_relation,openalex_status,openalex_id,openalex_publication_date,openalex_updated_date,medrxiv_status,biorxiv_status,preprint_first_date,preprint_matches,unpaywall_status,computed_earliest_public_date,computed_earliest_public_source,date_lineages,date_conflict,crosscheck_disposition,human_date_review_required
PMC11951197,prior_48,E-PARA,,"Rehospitalization, mortality and associated variables in primary care patients with heart failure and preserved ejection fraction after first hospitalization.",,10.1016/j.ijcrp.2025.200391,complete,2025 Jun,2025 Mar 7,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC11951197.1/PMC11951197.1.xml?md5=782df1ee591c939e232aaacfe15ba7e7,complete,2025-03-07,,2025-04-01,y,complete,,2025-06,2025-06,2025-03-07,2025-06-04,{},complete_unauthenticated_compatibility,https://openalex.org/W4408224641,2025-03-07,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-03-07,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC11969775,prior_48,strong,,Transition of nighttime sleep duration and sleep quality with incident cardiovascular disease among middle-aged and older adults: results from a national cohort study.,,10.1186/s13690-025-01577-5,complete,2025 Apr 4,2025 Apr 4,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC11969775.1/PMC11969775.1.xml?md5=9d2c81abc745ed84ec3ed30c6f63dd36,complete,2025-04-04,,2025-04-07,y,complete,2025-04-04,,2025-04-04,2025-04-05,2025-04-05,{},complete_unauthenticated_compatibility,https://openalex.org/W4409197614,2025-04-04,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-04-04,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12005981,prior_48,possible,,Hypertensive disorders of pregnancy and gestational diabetes mellitus and predicted risk of maternal cardiovascular disease 10-14 years after delivery: A prospective cohort.,,10.1111/dme.15516,complete,2025 May,2025 Jan 17,complete,1,TDM,false,false,s3://pmc-oa-opendata/PMC12005981.1/PMC12005981.1.xml?md5=7a046d8780ceee96026aaad06a84813b,complete,2025-01-17,,2025-01-20,y,complete,2025-01-17,2025-05,2025-01-17,2025-01-18,2025-04-18,{},complete_unauthenticated_compatibility,https://openalex.org/W4406584293,2025-01-17,2026-07-27T08:26:11.824852,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-01-17,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12085925,prior_48,strong,,Exploring the impact of the Index of Multiple Deprivation on percutaneous coronary intervention outcomes: Insights from the British Cardiovascular Intervention Society database.,,10.21542/gcsp.2025.4,complete,2025 Feb 28,2025 Feb 28,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12085925.1/PMC12085925.1.xml?md5=3a9beb527d1e2561dbde5620bae86739,complete,2025-02-28,,2025-05-21,y,complete,2025-03-03,,2025-03-03,2025-03-04,2025-03-04,{},complete_unauthenticated_compatibility,https://openalex.org/W4408106745,2025-03-03,2026-07-02T09:51:11.867554,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-02-28,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12093672,prior_48,E-DATE-PRE,,The portfolio dietary pattern and risk of cardiovascular disease mortality during 1988-2019 in US adults: a prospective cohort study.,,10.1186/s12916-025-04067-1,complete,2025 May 21,2025 May 21,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12093672.1/PMC12093672.1.xml?md5=3e4a53fc8f465139a7ee26c09fefdcc6,complete,2025-05-21,,2025-05-21,y,complete,2025-05-21,,2025-05-21,2025-05-20,2025-05-20,{},complete_unauthenticated_compatibility,https://openalex.org/W4410514162,2025-05-20,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-05-20,openalex_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12133703,prior_48,E-PARA,,Chronic kidney disease prevalence and outcomes in patients with type 2 diabetes or prediabetes at high cardiovascular risk: results from the CINEMA program.,,10.1016/j.ajpc.2025.101004,complete,2025 Jun,2025 Apr 25,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12133703.1/PMC12133703.1.xml?md5=403e990e065f3fe39871f7ce2cdab111,complete,2025-04-25,,2025-06-11,y,complete,,2025-06,2025-06,2025-04-25,2025-07-08,{},complete_unauthenticated_compatibility,https://openalex.org/W4409787606,2025-04-25,2026-07-22T07:51:19.307946,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-04-25,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12141897,prior_48,strong,,Percutaneous Coronary Intervention Outcomes by 5 Major Race and Ethnic Subgroups.,,10.1016/j.jacadv.2025.101767,complete,2025 Jun,2025 May 13,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12141897.1/PMC12141897.1.xml?md5=9fee4ae58d2093ca498f589325c3fe69,complete,2025-05-13,,2025-05-21,y,complete,,2025-06,2025-06,2025-05-13,2025-06-26,{},complete_unauthenticated_compatibility,https://openalex.org/W4410331574,2025-05-13,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-05-13,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12155567,prior_48,E-PRED,,PREVENT Risk Score vs the Pooled Cohort Equations in MESA.,,10.1016/j.jacadv.2025.101825,complete,2025 Jun,2025 May 26,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12155567.1/PMC12155567.1.xml?md5=dfe1fc5f16e3c63095438add9b02b6a5,complete,2025-05-26,,2025-05-28,y,complete,,2025-06,2025-06,2025-05-26,2025-06-26,{},complete_unauthenticated_compatibility,https://openalex.org/W4410739021,2025-05-26,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-05-26,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12179864,prior_48,E-PARA,,Long-term risk of diabetes following hypertensive disorders of pregnancy: A retrospective cohort study.,,10.4239/wjd.v16.i6.105080,complete,2025 Jun 15,,complete,1,CC BY-NC,true,false,s3://pmc-oa-opendata/PMC12179864.1/PMC12179864.1.xml?md5=44d1a9418ecaef3e797528c1e09ea065,complete,2025-06-01,,2025-06-25,y,complete,2025-06-15,,2025-06-15,2025-06-13,2025-06-13,{},complete_unauthenticated_compatibility,https://openalex.org/W4411226768,2025-06-13,2026-06-11T09:08:48.828518,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-06-01,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12273069,prior_48,strong,,"Comparison of outpatient attendance, cardiovascular risk management and cardiovascular health across preCOVID-19, during and postCOVID-19 periods: a prospective cohort study.",,10.1136/bmjopen-2024-092374,complete,2025 Jul 16,2025 Jul 16,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12273069.1/PMC12273069.1.xml?md5=97c4da07d09c7ca202af7ad79f5e7622,complete,2025-07-16,,2025-07-17,y,complete,2025-07-16,2025-07,2025-07,2025-07-16,2025-10-18,{},complete_unauthenticated_compatibility,https://openalex.org/W4412470817,2025-07-01,2026-06-26T08:34:08.712188,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12286890,prior_48,E-DESIGN,,"Author Response to the Comment on ""Time Trends in Cardiovascular Event Incidence in New-Onset Type 2 Diabetes: A Population-Based Cohort Study From Germany"".",,10.1111/1753-0407.70128,complete,2025 Jul,,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12286890.1/PMC12286890.1.xml?md5=c46a6d8544874f72c5e3c39656fcb4f6,complete,2025-07-01,,2025-07-24,y,complete,2025-07-23,2025-07,2025-07,2025-07-24,2025-08-04,{},complete_unauthenticated_compatibility,https://openalex.org/W4412647382,2025-07-01,2026-07-22T07:51:19.307946,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12334939,prior_48,E-DESIGN,,Analyzing clinical laboratory data outcomes in retrospective cohort studies using TriNetX.,,10.11613/bm.2025.030502,complete,2025 Oct 15,2025 Aug 15,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12334939.1/PMC12334939.1.xml?md5=a34c8dc89293fdadb3a963da5f1ca258,complete,2025-08-15,,2025-08-21,y,complete,2025-10-15,2025-10-15,2025-10-15,2025-08-07,2025-10-17,{},complete_unauthenticated_compatibility,https://openalex.org/W4413036870,2025-08-07,2026-07-28T07:46:37.118299,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-08-07,openalex_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12341586,prior_48,possible,,Attributable burden of steatotic liver disease on cardiovascular outcomes in Asia.,,10.1016/j.jhepr.2025.101479,complete,2025 Sep,2025 Jun 6,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12341586.1/PMC12341586.1.xml?md5=fe136da722c8fd391f995ef2fe46e3d2,complete,2025-06-06,,2025-08-21,y,complete,,2025-09,2025-09,2025-06-06,2025-09-05,{},complete_unauthenticated_compatibility,https://openalex.org/W4411081135,2025-06-06,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-06-06,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12395389,prior_48,E-PRED,,Validation and Refinement of Scores to Predict Stroke Risk: Prospective Cohort Study.,,10.2196/72497,complete,2025 Aug 21,2025 Aug 21,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12395389.1/PMC12395389.1.xml?md5=54edaccb9d064d03c86325fed3bb0b41,complete,2025-08-21,,2025-09-04,y,complete,2025-08-21,,2025-08-21,2025-08-29,2026-06-30,{},complete_unauthenticated_compatibility,https://openalex.org/W4413827738,2025-08-21,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-08-21,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12396445,prior_48,E-SUBDOMAIN,,Risk factors for dementia and cognitive impairment within 5 years after stroke: a prospective multicentre cohort study.,,10.1016/j.lanepe.2025.101428,complete,2025 Sep,2025 Aug 19,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12396445.1/PMC12396445.1.xml?md5=b523073a6a87794e531fd9b2ebcd7ffa,complete,2025-08-19,,2025-09-04,y,complete,,2025-09,2025-09,2025-08-20,2026-05-16,{},complete_unauthenticated_compatibility,https://openalex.org/W4413333407,2025-08-20,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-08-19,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12400556,prior_48,E-PARA,,SGLT2 inhibitors and GLP-1 receptor agonists: impact on mortality in diabetic patients with cardiovascular disease.,,10.1186/s12933-025-02874-7,complete,2025 Aug 31,2025 Aug 31,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12400556.1/PMC12400556.1.xml?md5=849168ed4d2d7e3bef2877da273b96ee,complete,2025-08-31,,2025-09-04,y,complete,2025-08-31,,2025-08-31,2025-08-31,2025-09-10,{},complete_unauthenticated_compatibility,https://openalex.org/W4413862695,2025-08-31,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-08-31,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12418469,prior_48,E-DATE-UNCERTAIN,,Cholesterol Levels and Cardiovascular Outcomes Following Statin Initiation for Primary Prevention: A Cohort Study.,,10.1016/j.jacadv.2025.101864,complete,2025 Jul,,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12418469.1/PMC12418469.1.xml?md5=1a968abf87aed9478e6dc5d7dbac9465,complete,2025-07-01,,2025-07-28,y,complete,,2025-07,2025-07,2025-07-23,2026-03-27,{},complete_unauthenticated_compatibility,https://openalex.org/W4412605406,2025-07-01,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-07-01,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12421259,prior_48,E-DATE-UNCERTAIN,,General practice-related variation in oral anticoagulant treatment of atrial fibrillation: a nationwide cohort study.,,10.3399/bjgpo.2024.0197,complete,2025,2025 Jul 23,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12421259.1/PMC12421259.1.xml?md5=9b2558552e4ca2b331d8c745b92dbb35,complete,2025-07-23,,2024-11-16,y,complete,2024-11-11,2025-07,2024-11-11,2024-11-11,2025-10-08,{},complete_unauthenticated_compatibility,https://openalex.org/W4404241644,2024-11-11,2026-07-28T07:46:37.118299,not_found,not_found,,[],source_incomplete_missing_contact_email,2024-11-11,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,yes,ineligible_pre_cutoff,no
PMC12463975,prior_48,E-PRED,,Trajectories of health conditions predict cardiovascular disease risk among middle-aged and older adults: a national cohort study.,,10.3389/fnut.2025.1657587,complete,2025,2025 Sep 12,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12463975.1/PMC12463975.1.xml?md5=0539d3a98b27def965274d0cf14a8a8b,complete,2025-09-12,,2025-09-30,y,complete,2025-09-12,,2025-09-12,2025-09-12,2025-09-12,{},complete_unauthenticated_compatibility,https://openalex.org/W4414262040,2025-09-12,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-09-12,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12486684,prior_48,E-PRED,,Does a modified metabolic syndrome definition improve prediction of cardiovascular events and mortality? findings from a 17-year cohort study.,,10.1186/s41043-025-01083-y,complete,2025 Sep 30,2025 Sep 30,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12486684.1/PMC12486684.1.xml?md5=2f1beeea34b08c0d43628c679ea75fd6,complete,2025-09-30,,2025-10-01,y,complete,2025-09-30,,2025-09-30,2025-09-30,2025-09-30,{},complete_unauthenticated_compatibility,https://openalex.org/W4414661677,2025-09-30,2026-07-29T09:40:50.615796,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-09-30,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12533630,prior_48,E-GENETIC,,"Interplay of Acquired Risk Factors, Age, and Genetic Predisposition in Incident Stroke: A Prospective Cohort Study.",,10.1161/jaha.125.040962,complete,2025 Jul 15,2025 Jul 3,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12533630.1/PMC12533630.1.xml?md5=d189904594ef14327057d825987dc869,complete,2025-07-03,,2025-07-09,y,complete,,2025-07-15,2025-07-15,2025-07-04,2025-07-16,{},complete_unauthenticated_compatibility,https://openalex.org/W4412041823,2025-07-04,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-07-03,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12537428,prior_48,E-SUBDOMAIN,,Major adverse kidney events among chronic kidney disease patients with vitamin D deficiency.,,10.3389/fnut.2025.1650514,complete,2025,2025 Oct 7,complete,1,CC BY,true,false,s3://pmc-oa-opendata/PMC12537428.1/PMC12537428.1.xml?md5=49c5d6a0a9ffd36c654fe6740be9c105,complete,2025-10-07,,2025-10-23,y,complete,2025-10-07,,2025-10-07,2025-10-07,2025-10-07,{},complete_unauthenticated_compatibility,https://openalex.org/W4414877516,2025-10-07,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-10-07,crossref_issued,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
PMC12553450,prior_48,E-PRED,,Development and Internal Validation of a Clinical Imaging-Based Stroke Prediction Model in a Community Cohort.,,10.1161/jaha.125.041413,complete,2025 Sep 2,2025 Aug 22,complete,1,CC BY-NC-ND,true,false,s3://pmc-oa-opendata/PMC12553450.1/PMC12553450.1.xml?md5=5d94a84f5e925446c1522d1376d4a86c,complete,2025-08-22,,2025-08-24,y,complete,,2025-09-02,2025-09-02,2025-08-23,2025-11-12,{},complete_unauthenticated_compatibility,https://openalex.org/W4413443190,2025-08-23,2026-07-23T08:03:31.855105,not_found,not_found,,[],source_incomplete_missing_contact_email,2025-08-22,europe_pmc_first_publication_date,bibliographic_index;crossref_derived_index;publisher_crossref,no,verified_post_cutoff_metadata,no
